menus_continue,Continue
attacks_poison_sludge_description,An attack that may poison the foe.
attacks_poison_sludge_bomb_description,Sludge is hurled to inflict damage. May also poison.
attacks_poison_smog_description,An attack that may poison the foe.
attacks_psychic_agility_description,Relaxes the body to sharply boost Speed.
attacks_psychic_amnesia_description,Sharply raises the user's Spcl.Def.
attacks_psychic_confusion_description,The foe is hit by a weak telekinetic force.
attacks_psychic_hypnosis_description,May put the foe to sleep.
attacks_psychic_kinesis_description,Distracts the foe. May lower accuracy.
attacks_psychic_meditate_description,Raises the user's Attack.
attacks_psychic_psybeam_description,A peculiar ray is shot at the foe.
attacks_psychic_psychic_description,An attack that may lower Special.Def.
attacks_psychic_psywave_description,An attack with variable power.
attacks_rock_rock_slide_description,Large boulders are hurled.
attacks_rock_rock_throw_description,Drops rocks on the enemy.
attacks_water_aqua_tail_description,The user attacks by swinging its tail as if it were a vicious wave in a raging storm.
attacks_water_bubble_description,An attack that may reduce Speed.
attacks_water_bubble_beam_description,An attack that may reduce Speed.
attacks_water_crabhammer_description,Hammers with a pincer.
attacks_water_hydro_pump_description,A powerful water- type attack.
attacks_water_surf_description,Creates a huge wave, then crashes it down on the foe.
attacks_water_waterfall_description,An aquatic charge attack.
attacks_water_water_gun_description,Squirts water to attack.
