menus_continue,Fortsett
battle_message_run_fail_trainer,Du kan ikke løpe fra en trener kamp!
battle_message_run_fail,Løping mislykkes.
battle_message_catch_fail_trainer,Hei!~Ikke vær en tyv!
battle_message_item_disallowed,kan ikke brukes~i kamper!
battle_message_use,Bruk
battle_message_used,Brukte
battle_message_already_in_battle,er allerede~i kampen!
battle_message_is_fainted,er besvimt!
battle_message_fainted,besvimte!
battle_message_gained,fikk
battle_message_no_pp,har~ingen PP venstre!*
battle_message_sleep,sover~godt.
battle_message_wake,våknet opp!
battle_message_paralyzed,er lammet!~Det kan ikke bevege på seg!
battle_message_frozen,er ingen~lenger frosset!
battle_message_thaw,er frosset~solid!
battle_message_stat_up,~steg litt!
battle_message_stat_down,~falt litt!
battle_message_stat_up_sharp,~steg kraftig!
battle_message_stat_down_sharp,~falt kraftig!
battle_message_effect_failed,men det mislyktes.
battle_message_crit,Et kritisk treff!

----------------------------------------

battle_message_super_effective,det er super effektiv!
battle_message_not_effective,det er ikke veldig effektivt ...
battle_message_immune,har det ingen effekt ...
battle_message_miss,angrep savnet!
battle_message_hurt_burn,ble skadet~av brenne sin!
battle_message_hurt_poison,ble skadet~av gift!
battle_message_reached_level nådde~nivå
battle_message_learned,lærte
battle_message_status_effect_taken,er nå
battle_message_status_effect_present,er allerede
battle_menu_battle,Battle
battle_menu_bag,Bag
battle_menu_pokemon,Pokémon
battle_menu_run,Run
battle_menu_move,Flytt
battle_menu_dodge,Dodge
abilities_overgrowth_description,Ups Grass bevege seg i en klemme.
attacks_dark_bite_description,gjort en bite med skarpe hoggtenner.
attacks_dark_crunch_description,brukeren crunches opp fienden med skarpe hoggtenner. Det kan også redusere målets Defense stat.
attacks_dark_faint_attack_description,Tegner fiende tett,så streiker uten å lykkes.
attacks_dragon_dragon_rage_description,alltid påfører 40hk skade.
attacks_electric_flash_description,Blinds fienden for å redusere nøyaktigheten.
attacks_electric_thunder_description,En brutal lyn angrep som også kan forlate fiende lammet.
attacks_electric_thunderbolt_description,et angrep som kan føre til lammelser.
attacks_electric_thunder_punch_description,en elektrifisert slag som kan lamme fienden.
attacks_electric_thunder_shock_description,En elektrisk støt angrep som også kan forlate fiende lammet.
attacks_electric_thunder_wave_description,et trekk som kan føre til lammelser.
attacks_fighting_karate_chop_description,har en høy kritisk hit ratio.
attacks_fighting_low_kick_description,A spark som påfører mer skade på tyngre fiender.
attacks_fighting_reversal_description,An all-out angrep som blir kraftigere jo mindre HP brukeren har.
attacks_fighting_rolling_kick_description,En rask,spinning spark.
attacks_fighting_seismic_toss_description tilsvarer brukerens nivå skade HP.
attacks_fire_ember_description,et angrep som kan påføre et brannsår.
attacks_fire_fire_blast_description,et angrep som kan føre til forbrenning.
attacks_fire_fire_punch_description,En skummel slag som kan brenne målet.
attacks_fire_flame_charge_description,kapper Brukeren seg med flammer og angrep. Bygge opp mer makt,øker det brukerens Speed ​​stat.
attacks_fire_flamethrower_description,En kraftig brann angrep som kan påføre et brannsår.
attacks_fire_flame_wheel_description,gjør brukeren en heftig avgift på fienden. Det kan føre til forbrenning.
attacks_fire_lava_plume_description,vasker Et inferno av scarlet flammer over alt Pokémon i kamp. Det kan også påføre brannskader.
attacks_flying_aeroblast_description,en virvel av luft er skutt på fienden. Den har en høy kritisk hit ratio.
attacks_flying_drill_peck_description,En sterk,spinning-peck angrep.
attacks_flying_gust_description,Pisker opp en sterk vindkast.
attacks_flying_peck_description,jabs fienden med et nebb osv.
attacks_flying_wing_attack_description,Strikes målet med vinger.
attacks_ghost_lick_description,Licks med en lang tunge å skade. Kan også lamme.
attacks_ghost_night_shade_description tilsvarer brukerens nivå skade HP.
attacks_grass_cotton_spore_description,Cotton-lignende spores klamre seg til fienden,kraftig redusere Speed ​​stat.
attacks_grass_magical_leaf_description,sprer Brukeren nysgjerrige blader som jager fienden. Dette angrepet vil ikke gå glipp av.
attacks_grass_razor_leaf_description,Klipper fienden med blader. Høy kritisk hit ratio.
attacks_grass_sleep_powder_description,kan føre til at fienden til å sovne.
attacks_grass_spore_description,et trekk som induserer søvn.
attacks_grass_stun_spore_description,et trekk som kan lamme fienden.
attacks_grass_synthesis_description,Gjenoppretter brukerens HP. Mengden av HP gjenvunnet varierer med været.
attacks_grass_vine_whip_description,Pisker fienden med slanke vinstokker.
attacks_ground_bone_club_description,klubber fienden med et bein.
attacks_ground_earthquake_description,tøff,men ubrukelig vs flygende fiender.
attacks_ground_mudslap_description,kaster Brukeren gjørme i målet ansikt å påføre skade og senke nøyaktighet.
attacks_ground_sand_attack_description,Reduserer nøyaktighet ved å kaste sand.
attacks_ice_aurora_beam_description,et angrep som kan senke Attack.
attacks_ice_blizzard_description,et angrep som kan fryse fiende.
attacks_ice_haze_description,Eliminerer alle statistiske endringer.
attacks_ice_ice_beam_description,sprenger den fiende med en iskald stråle som kan fryse den.
attacks_ice_ice_fang_description,biter Brukeren med kaldt infused hoggtenner. Det kan også gjøre fiende fryse.
attacks_ice_ice_punch_description,er målet slo med en iskald neve. Det kan også forlate målet frosset.
attacks_ice_powder_snow_description,sprenger den fiende med et snødekket vindkast. Kan forårsake frysing.
attacks_normal_body_slam_description,et angrep som kan føre til lammelser.
attacks_normal_constrict_description,constricts å påføre smerte. Kan lavere hastighet.
attacks_normal_cut_description,kutt med klør,ljåer,etc.
attacks_normal_defense_curl_description,øker brukerens Defense.
attacks_normal_dizzy_punch_description,et angrep som kan føre til forvirring.
attacks_normal_double_team_description,øker evasiveness.
attacks_normal_egg_bomb_description,egg er kastet på fienden.
attacks_normal_flail_description,flails brukeren om aimlessly å angripe. Det blir kraftigere jo mindre HP brukeren har.
attacks_normal_focus_energy_description,Hever den kritiske hit ratio.
attacks_normal_focus_energy_success,blir~pumpet!
attacks_normal_focus_energy_fail,men det mislyktes!
attacks_normal_glare_description,et trekk som kan føre til lammelser.
attacks_normal_growl_description,Reduserer fiende angrep.
attacks_normal_growth_description,A Normal-type trekk som øker Special Atk.
attacks_normal_harden_description,øker brukerens Defense.
attacks_normal_headbutt_description,stikker Brukeren hodet ut og værer rett frem.
attacks_normal_horn_attack_description,Et angrep ved hjelp av et horn til jab.
attacks_normal_hyper_fang_description er fienden angrepet med skarpe hoggtenner.
attacks_normal_leer_description,Reduserer fiende forsvar.
attacks_normal_lovely_kiss_description,kan føre til at fienden til å sovne.
attacks_normal_mega_kick_description,En kraftig sparker angrep.
attacks_normal_mega_punch_description,et kraftig slag kastet veldig hardt.
attacks_normal_minimize_description,øker evasiveness.
attacks_normal_pound_description,Pounds målet med forbena eller hale.
attacks_normal_quick_attack_description,En ekstremt raske angrep som alltid slår først.
attacks_normal_recover_description,Gjenoppretter HP med 1/2 brukerens maks HP.
attacks_normal_recover_effect,HP ble gjenopprettet.
attacks_normal_scary_face_description,skremmer med en skremmende ansikt til kraftig redusert hastighet.
attacks_normal_scratch_description,Riper med skarpe klør.
attacks_normal_screech_description,Avgir et skrik å betraktelig redusere fiende forsvar.
attacks_normal_sharpen_description,Reduserer antall polygoner og øker Attack.
attacks_normal_sing_description,kan føre til at fienden til å sovne.
attacks_normal_slam_description,Slams fienden med en hale,vintreet,etc.
attacks_normal_slash_description,skråstreker med klør,osv.
attacks_normal_smoke_screen_description,Senker fiende nøyaktighet.
attacks_normal_softboiled_description,Gjenoppretter HP med 1/2 brukerens maks HP.
attacks_normal_sonic_boom_description,alltid påfører 20hp skade.
attacks_normal_splash_description,har ingen effekt overhodet.
attacks_normal_stomp_description,Stampingen fienden med en stor fot.
attacks_normal_strength_description,En kraftig fysisk angrep.
attacks_normal_struggle_description,bare brukes hvis alle PP er oppbrukt.
attacks_normal_super_fang_description,Kutter FOEs HP med 1/2.
attacks_normal_supersonic_description,Lydbølger som forårsaker forvirring.
attacks_normal_swift_description,spray stjerne-formet stråler som aldri glipp av.
attacks_normal_swords_dance_description,en dans som øker Attack.
attacks_normal_tackle_description,en full-body kostnad angrep.
attacks_normal_tail_whip_description,Senker fiende forsvar.
attacks_normal_tri_attack_description,fyrer tre typer bjelker på en gang.
attacks_normal_vice_grip_description,Grips med kraftige knipetang.
attacks_poison_acid_armor_description,Liquifies brukerens kropp til kraftig heve Defense.
attacks_poison_acid_description,et angrep som kan senke Defense.
attacks_poison_poison_gas_description,envelops fiende i en giftig gass som kan forgifte.
attacks_poison_poison_powder_description,sprer en giftig pulver som kan forgifte fiende.
attacks_poison_poison_sting_description,et angrep som kan forgifte målet.
attacks_poison_sludge_description,et angrep som kan forgifte fiende.
attacks_poison_sludge_bomb_description,Slam slynges å påføre skade. Kan også forgifte.
attacks_poison_smog_description,et angrep som kan forgifte fiende.
attacks_psychic_agility_description,slapper kroppen til kraftig øke hastigheten.
attacks_psychic_amnesia_description,hever Kraftig brukerens Spcl.Def.
attacks_psychic_confusion_description,The fiende truffet av en svak telekinetiske kraft.
attacks_psychic_hypnosis_description,kan sette fienden til å sove.
attacks_psychic_kinesis_description,distraherer fiende. Kan senke nøyaktighet.
attacks_psychic_meditate_description,øker brukerens Attack.
attacks_psychic_psybeam_description,er en særegen ray skutt på fienden.
attacks_psychic_psychic_description,et angrep som kan senke Special.Def.
attacks_psychic_psywave_description,Et angrep med variabel strøm.
attacks_rock_rock_slide_description er store steinblokker kastet.
attacks_rock_rock_throw_description,Drops bergarter på fienden.
attacks_water_aqua_tail_description,angriper Brukeren ved å svinge halen som om det var en ond bølge i en rasende storm.
attacks_water_bubble_description,et angrep som kan redusere hastighet.
attacks_water_bubble_beam_description,et angrep som kan redusere hastighet.
attacks_water_crabhammer_description,hammer med en knipetangsmanøver.
attacks_water_hydro_pump_description,En kraftig vann-type angrep.
attacks_water_surf_description,Oppretter en stor bølge,krasjer så det ned på fienden.
attacks_water_waterfall_description,en vannlevende kostnad angrep.
attacks_water_water_gun_description,Squirts vann til å angripe.
